settlement_id,canonical_name,aliases_in_book,settlement_type,latitude,longitude,coordinate_note,coordinate_precision,coordinate_source_url,wikidata_id,wikidata_url,wikipedia_url,wikidata_description,entity_resolution_score,occupation_start_year,occupation_end_year,occupation_interval_display,occupation_qualifier,occupation_basis,curation_note,mention_paragraph_count,sections_mentioned,first_source_line,last_source_line
S062,Kish,Kish,ancient city,32.540277777,44.604722222,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q132272,Q132272,http://www.wikidata.org/entity/Q132272,https://en.wikipedia.org/wiki/Kish_(Sumer),ancient Sumerian city,16.88,-3100,-650,3100 BCE to 650 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2811,5460
S063,Larsa,Larsa,ancient city,31.2833,45.8498,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q244746,Q244746,http://www.wikidata.org/entity/Q244746,https://en.wikipedia.org/wiki/Larsa,human settlement,12.58,-2500,-500,2500 BCE to 500 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities,2811,2827
S064,Eshnunna,Eshnunna,ancient city,33.75,44.75,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q375685,Q375685,http://www.wikidata.org/entity/Q375685,https://en.wikipedia.org/wiki/Eshnunna,Sumerian city-state,12.39,-3000,-1700,3000 BCE to 1700 BCE,c.,reference synthesis,,1,Notes to Chapter 8: Imaginary Cities,5448,5448
S065,Mashkan-shapir,Mashkan-shapir|Mashkan,ancient city,32.4,45.21666667,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2574582,Q2574582,http://www.wikidata.org/entity/Q2574582,https://en.wikipedia.org/wiki/Mashkan-shapir,archaeological site in Iraq,10.58,-2050,-1700,2050 BCE to 1700 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities,2827,2829
S066,Mari,Mari|Tell Hariri,ancient city,34.549444444,40.89,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q244762,Q244762,http://www.wikidata.org/entity/Q244762,"https://en.wikipedia.org/wiki/Mari,_Syria",ancient Sumerian and Amorite city,12.86,-2900,-1760,2900 BCE to 1760 BCE,c.,reference synthesis,,3,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities,2829,3823
S067,Urkesh,Urkesh|Tell Mozan,ancient city,37.056944444,40.997222222,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1758030,Q1758030,http://www.wikidata.org/entity/Q1758030,https://en.wikipedia.org/wiki/Urkesh,archaeological site in Syria,11.46,-4000,-1300,4000 BCE to 1300 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2831,5458
S068,Kanesh,Kanesh|Kültepe,ancient city,38.85,35.633333333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q538605,Q538605,http://www.wikidata.org/entity/Q538605,https://en.wikipedia.org/wiki/K%C3%BCltepe,human settlement,12.21,-3000,-1700,3000 BCE to 1700 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2819,2819
S069,Anyang (Yinxu),Anyang|Yinxu,Shang capital,36.1225,114.318611111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q464904,Q464904,http://www.wikidata.org/entity/Q464904,https://en.wikipedia.org/wiki/Yinxu,archeological site of the last capital of China's Shang dynasty,28.58,-1300,-1046,1300 BCE to 1046 BCE,c.,book plus reference synthesis,Resolved to the Shang capital rather than the modern city centre.,3,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities,2972,3651
S070,Shimao,Shimao,walled city,38.561539,110.307439,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q24036336,Q24036336,http://www.wikidata.org/entity/Q24036336,https://en.wikipedia.org/wiki/Shimao,Chinese archaeological site,22.32,-2300,-1800,2300 BCE to 1800 BCE,c.,reference synthesis,,2,Chapter 8: Imaginary Cities,2982,2984
S071,Taosi,Taosi,walled city,35.892861111,111.490055555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q217859,Q217859,http://www.wikidata.org/entity/Q217859,https://en.wikipedia.org/wiki/Taosi,archaeological site,22.81,-2300,-1800,2300 BCE to 1800 BCE,book dates,book paragraph L2984,,4,Chapter 8: Imaginary Cities,2984,2996
S072,Wangchenggang,Wangchenggang,walled town,34.40084,113.12496,archaeological ruins location,site centroid,https://mapcarta.com/W1263470603,,,,,,-2200,-1600,2200 BCE to 1600 BCE,c.,reference synthesis,,1,Notes to Chapter 8: Imaginary Cities,5550,5550
S073,Erlitou,Erlitou,urban settlement,34.6925,112.69,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2692927,Q2692927,http://www.wikidata.org/entity/Q2692927,https://en.wikipedia.org/wiki/Erlitou,"archaeological site in Yanshi, Henan, China",21.81,-1750,-1530,1750 BCE to 1530 BCE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2972,2972
S074,Zhengzhou Shang City,Erligang|Zhengzhou Shang City,walled city,34.7453,113.6831,archaeological site centroid,site centroid,https://www.wikidata.org/wiki/Q203132,Q203132,https://www.wikidata.org/wiki/Q203132,https://en.wikipedia.org/wiki/Zhengzhou_Shang_City,"Bronze Age archaeological city in Zhengzhou, China",100.0,-1600,-1400,1600 BCE to 1400 BCE,c.,reference synthesis,Erligang is resolved to the type-site at Zhengzhou.,1,Chapter 8: Imaginary Cities,2972,2972
S075,Tenochtitlan,Tenochtitlan,ancient city,19.435,-99.13138889,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q13695,Q13695,http://www.wikidata.org/entity/Q13695,https://en.wikipedia.org/wiki/Tenochtitlan,former city-state in the Valley of Mexico,13.48,1325,1521,1325 CE to 1521 CE,established–destroyed,reference synthesis,,15,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,2679,5674
S076,Teotihuacan,Teotihuacan,ancient city,19.6925,-98.843888888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q172613,Q172613,http://www.wikidata.org/entity/Q172613,https://en.wikipedia.org/wiki/Teotihuacan,ancient Mesoamerican city,13.3,-100,550,100 BCE to 550 CE,c.,book plus reference synthesis,,54,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Chapter 12: Conclusion | Chapter 8: Imaginary Cities | Chapter 9: Hiding in Plain Sight | Front matter: maps and figures | Notes to Chapter 10: Why the State Has No Origin | Notes to Chapter 8: Imaginary Cities | Notes to Chapter 9: Hiding in Plain Sight,155,5788
S077,Tikal,Tikal,ancient city,17.222094444,-89.623613888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q181172,Q181172,http://www.wikidata.org/entity/Q181172,https://en.wikipedia.org/wiki/Tikal,ruins of major ancient Maya city,29.25,-300,900,300 BCE to 900 CE,c.,reference synthesis,,8,Chapter 10: Why the State Has No Origin | Chapter 9: Hiding in Plain Sight,3043,3389
S078,Calakmul,Calakmul,ancient city,18.105,-89.810555555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q272771,Q272771,http://www.wikidata.org/entity/Q272771,https://en.wikipedia.org/wiki/Calakmul,archaeological site,24.7,-550,900,550 BCE to 900 CE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin | Chapter 9: Hiding in Plain Sight,3043,3389
S079,Palenque,Palenque,ancient city,17.484166666,-92.046388888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q181427,Q181427,http://www.wikidata.org/entity/Q181427,https://en.wikipedia.org/wiki/Palenque,former Maya city state in southern Mexico,29.09,-226,900,226 BCE to 900 CE,c.,reference synthesis,,2,Chapter 9: Hiding in Plain Sight,3043,3047
S080,Monte Albán,Monte Alban|Monte Albán,ancient city,17.043888888,-96.767777777,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q464899,Q464899,http://www.wikidata.org/entity/Q464899,https://en.wikipedia.org/wiki/Monte_Alb%C3%A1n,pre-Columbian archaeological site in Mexico,24.7,-500,850,500 BCE to 850 CE,c.,book plus reference synthesis,,1,Chapter 9: Hiding in Plain Sight,3043,3043
S081,Tula (Tollan),Tula|Tollan,Toltec city,20.06382,-99.34111,archaeological zone centroid,site centroid,https://mapcarta.com/36900208,Q1368626,http://www.wikidata.org/entity/Q1368626,https://en.wikipedia.org/wiki/T%C5%8Dll%C4%81n,archaeological site in Mexico,19.7,850,1150,850 CE to 1150 CE,book dates,book paragraph L3043,,10,Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3019,5602
S082,Cahokia,Cahokia,ancient city,38.653888888,-90.064444444,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q333661,Q333661,http://www.wikidata.org/entity/Q333661,https://en.wikipedia.org/wiki/Cahokia,"archaeological site near East St. Louis, Illinois, USA",24.78,1050,1350,1050 CE to 1350 CE,book dates,book paragraph L3955,,34,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Chapter 12: Conclusion | Chapter 9: Hiding in Plain Sight | Notes to Chapter 11: Full Circle,3043,6134
S083,Cuicuilco,Cuicuilco,ancient city,19.301667,-99.181667,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1143307,Q1143307,http://www.wikidata.org/entity/Q1143307,https://en.wikipedia.org/wiki/Cuicuilco,archaeological site in Mexico,23.46,-800,250,800 BCE to 250 CE,c.,reference synthesis,,1,Chapter 9: Hiding in Plain Sight,3099,3099
S084,Tetimpa,Tetimpa,village,19.07563,-98.47567,modern locality over/near archaeological settlement,nearby locality,https://mapcarta.com/30105944,,,,,,-700,100,700 BCE to 100 CE,c.,reference synthesis,,2,Chapter 9: Hiding in Plain Sight,3099,3103
S085,Tlaxcala,Tlaxcala,city-state,19.315144977,-98.236151198,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q689987,Q689987,http://www.wikidata.org/entity/Q689987,https://en.wikipedia.org/wiki/Tlaxcala_(city),capital of the Mexican state of Tlaxcala,12.81,1250,2026,1250 CE to present,c.–present,reference synthesis,Ancient city and modern continuation.,28,Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3154,5688
S086,Tizatlan,Tizatlan,city-state,19.337777777,-98.218055555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q3991974,Q3991974,http://www.wikidata.org/entity/Q3991974,https://en.wikipedia.org/wiki/Tizatlan,political entity in pre-Columbian Mexico,13.58,1250,1521,1250 CE to 1521 CE,c.,reference synthesis,,1,Chapter 9: Hiding in Plain Sight,3234,3234
S087,Aztlán,Aztlán|Aztlan,unlocated historical or legendary settlement,,,intentionally unlocated; the book does not specify a recoverable location,unlocated,,,,,,,,1150,unknown to 1150 CE,before,book evidence,Location is explicitly unknown in paragraph L3015; coordinates intentionally null.,2,Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3015,5566
S088,Culhuacan,Culhuacan|Culhuacán,city-state,19.336,-99.124,historic settlement centre in modern Pueblo Culhuacan,historical core,https://en.wikipedia.org/wiki/Pueblo_Culhuac%C3%A1n,,,,,,600,1521,600 CE to 1521 CE,c.,reference synthesis,,1,Notes to Chapter 9: Hiding in Plain Sight,5570,5570
S089,Tlacopan,Tlacopan,city-state,19.459009,-99.187668,pre-Columbian city centre,historical core,https://vici.org/vici/101126/,Q1140671,http://www.wikidata.org/entity/Q1140671,https://en.wikipedia.org/wiki/Tlacopan,Mesoamerican city-state,4.58,1400,1521,1400 CE to 1521 CE,c.,reference synthesis,,1,Notes to Chapter 9: Hiding in Plain Sight,5568,5568
S090,Texcoco,Texcoco|Tetzcoco,city-state,19.51194,-98.88293,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1141799,Q1141799,http://www.wikidata.org/entity/Q1141799,https://en.wikipedia.org/wiki/Texcoco_de_Mora,"municipal seat of Texcoco, State of Mexico, Mexico",11.95,1200,1521,1200 CE to 1521 CE,c.,reference synthesis,,2,Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3015,5568
S091,Chichén Itzá,Chichén Itzá|Chichén Itza,ancient city,20.683055555,-88.568611111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5859,Q5859,http://www.wikidata.org/entity/Q5859,https://en.wikipedia.org/wiki/Chichen_Itza,pre-Columbian Maya city in Mexico,25.78,600,1200,600 CE to 1200 CE,c.,reference synthesis,,3,Chapter 10: Why the State Has No Origin | Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3078,5602
S092,Copán,Copán|Copan,ancient city,14.837963888,-89.142441666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q214827,Q214827,http://www.wikidata.org/entity/Q214827,https://en.wikipedia.org/wiki/Cop%C3%A1n,maya archaeological site in western Honduras,28.83,400,900,400 CE to 900 CE,c.,reference synthesis,,3,Chapter 9: Hiding in Plain Sight | Notes to Chapter 9: Hiding in Plain Sight,3064,5598
S093,Yaxchilán,Yaxchilán,ancient city,16.9,-90.966667,archaeological site centroid,site centroid,https://www.wikidata.org/wiki/Q662263,Q662263,https://www.wikidata.org/wiki/Q662263,https://en.wikipedia.org/wiki/Yaxchilan,"pre-Columbian Maya city in Chiapas, Mexico",100.0,359,808,359 CE to 808 CE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3449,3449
S094,San Lorenzo Tenochtitlán,San Lorenzo,ceremonial and residential centre,17.733333,-94.8,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q772613,Q772613,http://www.wikidata.org/entity/Q772613,https://en.wikipedia.org/wiki/San_Lorenzo_Tenochtitl%C3%A1n,three related archaeological sites,23.39,-1400,-900,1400 BCE to 900 BCE,c.,reference synthesis,Disambiguated from modern places and the river in Teotihuacan.,3,Chapter 10: Why the State Has No Origin | Notes to Chapter 10: Why the State Has No Origin,3439,5780
S095,La Venta,La Venta,ceremonial and residential centre,18.10527778,-94.03166667,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q913166,Q913166,http://www.wikidata.org/entity/Q913166,https://en.wikipedia.org/wiki/La_Venta,archaeological site,23.64,-1200,-400,1200 BCE to 400 BCE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin,3439,3565
S096,Aguada Fénix,Aguada Fénix,ceremonial and residential centre,17.8,-91.15,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q96059496,Q96059496,http://www.wikidata.org/entity/Q96059496,https://en.wikipedia.org/wiki/Aguada_F%C3%A9nix,Oldest city of the Maya civilization,14.46,-1000,-800,1000 BCE to 800 BCE,book dates,book note L5376,,1,Notes to Chapter 8: Imaginary Cities,5376,5376
S097,Chavín de Huántar,Chavín de Huántar,ceremonial and residential centre,-9.58865,-77.17764,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q17449251,Q17449251,http://www.wikidata.org/entity/Q17449251,,"village in Ancash, Peru",9.0,-1200,-400,1200 BCE to 400 BCE,c.,reference synthesis,,9,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Chapter 12: Conclusion | Notes to Chapter 10: Why the State Has No Origin,3458,5806
S098,Tiwanaku,Tiwanaku,ancient city,-16.554722222,-68.673333333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q61750,Q61750,http://www.wikidata.org/entity/Q61750,https://en.wikipedia.org/wiki/Tiwanaku,archaeological site in Bolivia,25.15,-300,1000,300 BCE to 1000 CE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin | Notes to Chapter 10: Why the State Has No Origin,3462,5878
S099,Wari (Huari),Wari|Huari,ancient city,-13.0583,-74.0639,Wari archaeological capital centroid,site centroid,https://en.wikipedia.org/wiki/Wari_(ancient_city),,,,,,600,1000,600 CE to 1000 CE,c.,reference synthesis,Book's polity name is resolved to its capital settlement.,2,Chapter 10: Why the State Has No Origin,3462,3572
S100,Knossos,Knossos,ancient city,35.297961111,25.163155555,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q173527,Q173527,http://www.wikidata.org/entity/Q173527,https://en.wikipedia.org/wiki/Knossos,ancient Minoan through Roman administrative center and city,29.17,-7000,500,7000 BCE to 500 CE,c.,reference synthesis,Long multi-period occupation.,8,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Chapter 12: Conclusion | Notes to Chapter 10: Why the State Has No Origin,3823,5992
S101,Phaistos,Phaestos|Phaistos,ancient city,35.051267,24.810922,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q249707,Q249707,http://www.wikidata.org/entity/Q249707,https://en.wikipedia.org/wiki/Phaistos,ancient Greek city in Crete,24.29,-4000,-1200,4000 BCE to 1200 BCE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin,3823,3841
S102,Malia (Minoan site),Malia,ancient city,35.293888888,25.490833333,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1887316,Q1887316,http://www.wikidata.org/entity/Q1887316,https://en.wikipedia.org/wiki/Malia_(archaeological_site),"historical site on Crete, Greece",23.39,-3000,-1200,3000 BCE to 1200 BCE,c.,reference synthesis,Resolved to the archaeological centre rather than the modern town.,1,Chapter 10: Why the State Has No Origin,3823,3823
S103,Zakros,Zakros,ancient city,35.098055555,26.261388888,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q60218,Q60218,http://www.wikidata.org/entity/Q60218,https://en.wikipedia.org/wiki/Zakros,"Minoan archaeological site in Eastern Crete, Greece",27.95,-1900,-1450,1900 BCE to 1450 BCE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3823,3823
S104,Akrotiri,Akrotiri,ancient city,36.35136,25.40356,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q421232,Q421232,http://www.wikidata.org/entity/Q421232,https://en.wikipedia.org/wiki/Akrotiri_(prehistoric_city),Bronze Age settlement on the volcanic Greek island of Santorini (Thera),20.04,-5000,-1600,5000 BCE to 1600 BCE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin,3825,3847
S105,Mycenae,Mycenae,ancient city,37.730833333,22.756111111,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q132564,Q132564,http://www.wikidata.org/entity/Q132564,https://en.wikipedia.org/wiki/Mycenae,"ancient city, now an archaeological site in Argolis, Greece",25.52,-1700,-1100,1700 BCE to 1100 BCE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities,2679,3841
S106,Tiryns,Tiryns,ancient city,37.596719,22.799814,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q217379,Q217379,http://www.wikidata.org/entity/Q217379,https://en.wikipedia.org/wiki/Tiryns,"ancient city and archaeological site in Argolis, Greece",24.81,-2500,-1050,2500 BCE to 1050 BCE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin | Chapter 8: Imaginary Cities,2679,3841
S107,Qustul,Qustul,settlement and cemetery,22.23333333,31.61666667,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2123701,Q2123701,http://www.wikidata.org/entity/Q2123701,https://en.wikipedia.org/wiki/Qustul,archeological site in Egypt,18.81,-3800,-3000,3800 BCE to 3000 BCE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3610,3610
S108,Kerma,Kerma,ancient city,19.600802,30.409731,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q1107569,Q1107569,http://www.wikidata.org/entity/Q1107569,https://en.wikipedia.org/wiki/Kerma,capital city of the Kerma culture and archaeological site,23.7,-2500,-1500,2500 BCE to 1500 BCE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3572,3572
S109,Abydos,Abydos,ancient settlement and necropolis,26.185167,31.918889,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q192268,Q192268,http://www.wikidata.org/entity/Q192268,"https://en.wikipedia.org/wiki/Abydos,_Egypt",city in ancient Egypt,12.86,-5000,400,5000 BCE to 400 CE,c.,reference synthesis,Long episodic occupation.,3,Chapter 10: Why the State Has No Origin,3582,3610
S110,Hierakonpolis,Hierakonpolis,ancient city,25.0972,32.7792,Nekhen/Hierakonpolis archaeological site centroid,site centroid,https://en.wikipedia.org/wiki/Hierakonpolis,,,,,,-4400,-2000,4400 BCE to 2000 BCE,c.,reference synthesis,,3,Chapter 10: Why the State Has No Origin | Notes to Chapter 10: Why the State Has No Origin,3610,5866
S111,Naqada,Naqada,ancient settlement,25.901666666,32.724166666,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q959859,Q959859,http://www.wikidata.org/entity/Q959859,https://en.wikipedia.org/wiki/Naqada,town in Egypt,11.95,-4000,-3000,4000 BCE to 3000 BCE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3610,3610
S112,Memphis (Egypt),Memphis,ancient city,29.844667,31.250917,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5715,Q5715,http://www.wikidata.org/entity/Q5715,"https://en.wikipedia.org/wiki/Memphis,_Egypt",ancient capital of Egypt,13.44,-3100,641,3100 BCE to 641 CE,c.,reference synthesis,,2,Chapter 10: Why the State Has No Origin,3406,3651
S113,Giza workers' town,workers’ town at Giza|workers' town at Giza|Giza workers' town,workers' settlement,29.978,31.141,workers' settlement south-east of the Giza pyramids,site centroid,https://en.wikipedia.org/wiki/Giza_pyramid_complex#Workers'_village,,,,,,-2600,-2500,2600 BCE to 2500 BCE,c.,book plus reference synthesis,Resolved only to the explicitly named workers' town rather than other references to Giza.,1,Chapter 10: Why the State Has No Origin,3622,3622
S114,Thebes (Egypt),Thebes,ancient city,25.720555555,32.610277777,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q101583,Q101583,http://www.wikidata.org/entity/Q101583,"https://en.wikipedia.org/wiki/Thebes,_Egypt",ancient Egyptian city,13.38,-3200,400,3200 BCE to 400 CE,c.,reference synthesis,,4,Chapter 10: Why the State Has No Origin,3412,3698
S115,Natchez Great Village,Great Village|Natchez Great Village|Fatherland Site|the Fatherland Site|the Natchez Great Village,capital village,31.5252,-91.3816,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q5595244,Q5595244,http://www.wikidata.org/entity/Q5595244,https://en.wikipedia.org/wiki/Grand_Village_of_the_Natchez,"archaeological site in Natchez, United States of America",25.32,1200,1730,1200 CE to 1730 CE,c.,reference synthesis,Aliases are merged into the same archaeological settlement.,9,Chapter 10: Why the State Has No Origin | Chapter 11: Full Circle | Notes to Chapter 10: Why the State Has No Origin,3306,5836
S116,Pacooda,Pacooda,royal village,9.8875,32.10835,approximate location at modern Kodok/Fashoda,nearby locality,https://mapcarta.com/13090276,,,,,,1600,1900,1600 CE to 1900 CE,approximate,book plus reference synthesis,Coordinates and dates are low confidence.,1,Chapter 10: Why the State Has No Origin,3541,3541
S117,Hopewell Mound Group,Hopewell itself|at Hopewell|Hopewell Mound Group,ceremonial and aggregation centre,39.363,-83.093,World Heritage property centroid,site centroid,https://whc.unesco.org/document/203000,,,,,,-200,500,200 BCE to 500 CE,c.,reference synthesis,Generic references to the wider Hopewell culture and interaction sphere are excluded.,2,Chapter 11: Full Circle | Notes to Chapter 11: Full Circle,4014,6058
S118,Newark Earthworks,Newark Earthworks|the Newark Earthworks,ceremonial and aggregation centre,40.0402671,-82.4277555,Great Circle component of the wider Newark complex,representative component,https://hopewellearthworks.org/site/great-circle-earthworks/,,,,,,-100,500,100 BCE to 500 CE,c.,reference synthesis,,1,Chapter 11: Full Circle,3996,3996
S119,Turner Earthworks,Turner Site|the Turner Site,ceremonial and aggregation centre,39.1316,-84.3102,approximate destroyed-site location near Round Bottom and Mount Carmel Roads,approximate site,https://newtownohio.gov/wp-content/uploads/2019/05/Newtown_Municipal_and_Indian_2013.pdf,,,,,,-100,500,100 BCE to 500 CE,c.,reference synthesis,,1,Chapter 11: Full Circle,4014,4014
S120,Spiro Mounds,Spiro,settlement and ceremonial centre,35.311944,-94.568611,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q2044290,Q2044290,http://www.wikidata.org/entity/Q2044290,https://en.wikipedia.org/wiki/Spiro_Mounds,"archaeological site in Oklahoma, United States of America",30.32,850,1450,850 CE to 1450 CE,c.,reference synthesis,,1,Chapter 11: Full Circle,4051,4051
S121,Etowah Indian Mounds,Etowah,settlement and capital,34.128012,-84.807064,Wikidata coordinate,Wikidata supplied point,http://www.wikidata.org/entity/Q4533107,Q4533107,http://www.wikidata.org/entity/Q4533107,https://en.wikipedia.org/wiki/Etowah_Indian_Mounds,"archaeological site in Bartow County, Georgia",34.32,1000,1550,1000 CE to 1550 CE,c.,reference synthesis,,4,Chapter 11: Full Circle | Notes to Chapter 11: Full Circle,4051,6124
S122,Moundville,Moundville,settlement and capital,32.998,-87.628,Moundville archaeological park/site centroid,site centroid,https://en.wikipedia.org/wiki/Moundville_Archaeological_Site,,,,,,1000,1450,1000 CE to 1450 CE,c.,reference synthesis,,1,Chapter 11: Full Circle,4051,4051
S123,Coosa,Coosa,capital settlement,34.2,-85.17,approximate historical core; exact capital location debated,approximate historical core,https://en.wikipedia.org/wiki/Coosa_chiefdom,,,,,,1300,1600,1300 CE to 1600 CE,c.,reference synthesis,Exact capital location is debated; coordinates are approximate if unresolved.,3,Chapter 11: Full Circle,4075,4083
S124,Cofitachequi,Cofitachequi,capital settlement,34.25,-80.61,"approximate historical core near Camden, South Carolina",approximate historical core,https://en.wikipedia.org/wiki/Cofitachequi,,,,,,1200,1600,1200 CE to 1600 CE,c.,reference synthesis,Exact capital location is debated; coordinates are approximate if unresolved.,1,Chapter 11: Full Circle,4083,4083
S125,Basta,Basta,large Neolithic settlement,30.2,35.533,Pre-Pottery Neolithic site centroid,site centroid,https://en.wikipedia.org/wiki/Basta_(archaeological_site),Q15785757,http://www.wikidata.org/entity/Q15785757,https://en.wikipedia.org/wiki/Basta_(archaeological_site),Prehistoric archaeological site in Jordan,22.58,-7500,-6500,7500 BCE to 6500 BCE,c.,reference synthesis,,1,Chapter 6: Gardens of Adonis,2160,2160
S126,Byblos,Byblos|Jbeil,ancient and modern port city,34.1236,35.6511,ancient and modern city centre,city centroid,https://en.wikipedia.org/wiki/Byblos,,,,,,-8800,2026,8800 BCE to present,c.–present,reference synthesis,Long episodic occupation; Jbeil is the modern name used parenthetically in the notes.,2,Chapter 10: Why the State Has No Origin | Notes to Chapter 10: Why the State Has No Origin,3829,5888
S127,Mezin,Mezin,Upper Palaeolithic aggregation settlement,51.823,33.068,archaeological site near the modern village,nearby locality,https://en.wikipedia.org/wiki/Mezin,Q4288982,http://www.wikidata.org/entity/Q4288982,,"village in Korop Raion, Chernihiv Oblast, Ukraine",10.32,-18000,-13000,18000 BCE to 13000 BCE,c.,reference synthesis,Note-only settlement paired with Mezhirich.,1,Notes to Chapter 3: Unfreezing the Ice Age,4778,4778
S128,Tågerup,Tågerup|Tagerup,Mesolithic coastal settlement,55.856,12.938,Mesolithic site location,site centroid,https://xronos.ch/sites/22754,,,,,,-7000,-5500,7000 BCE to 5500 BCE,c.,reference synthesis,Note-only settlement; long-lived Mesolithic occupation.,1,"Notes to Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property",4910,4910
